country,year,y,l,pop,k,labsh
Guatemala,1987,42897.5625,2.785142660140991,8.639108,176259.21875,0.5462682247161865
Guatemala,1988,44567.3046875,2.8991241455078125,8.842575,180101.1875,0.5462682247161865
Guatemala,1989,46324.41015625,3.05487060546875,9.050464999999999,184539.296875,0.5462682247161865
Guatemala,1990,47761.65625,3.1191091537475586,9.263812999999999,187481.71875,0.5462682247161865
Guatemala,1991,49508.89453125,3.193340301513672,9.48327,190738.8125,0.5462682247161865
Guatemala,1992,51904.3046875,3.2640554904937744,9.708544,197410.09375,0.5462682247161865
Guatemala,1993,53943.21875,3.3309378623962402,9.938692,204728.375,0.5462682247161865
Guatemala,1994,56118.81640625,3.40297532081604,10.172297,211138.578125,0.5462682247161865
Guatemala,1995,58898.90234375,3.482283592224121,10.408489,218495.265625,0.5462682247161865
Guatemala,1996,60632.0546875,3.554471492767334,10.646673999999999,225091.421875,0.5462682247161865
Guatemala,1997,63238.8203125,3.6400084495544434,10.887634,235119.171875,0.5462682247161865
Guatemala,1998,66254.21875,3.7342894077301025,11.133500999999999,248198.59375,0.5462682247161865
Guatemala,1999,69000.484375,3.829296350479126,11.387203,261743.546875,0.5462682247161865
Guatemala,2000,71490.3046875,3.947140693664551,11.650743,271936.375,0.5462682247161865
Guatemala,2001,73157.2265625,4.079062461853027,11.924946,281760.125,0.5462682247161865
Guatemala,2002,75985.9453125,4.198954105377197,12.208848,293170.875,0.5336029529571533
Guatemala,2003,77908.984375,4.31959867477417,12.500478,303246.03125,0.5358390212059021
Guatemala,2004,80364.7421875,4.437598705291748,12.796925,312490.40625,0.5303646922111511
Guatemala,2005,82984.7421875,4.547361373901367,13.096027999999999,322093.65625,0.5241342782974243
Guatemala,2006,87449.0078125,4.670784950256348,13.397020999999999,334844.75,0.5207457542419434
Guatemala,2007,92962.0078125,4.806106090545654,13.700327,348165.875,0.5087262392044067
Guatemala,2008,96012.1875,4.9454851150512695,14.006428,359238.28125,0.5020480751991272
Guatemala,2009,96517.390625,5.0752339363098145,14.316263,366603.46875,0.5005415678024292
Guatemala,2010,99286.8359375,5.213250637054443,14.630417,373366.78125,0.5013794898986816
Guatemala,2011,103419.1015625,5.391595840454102,14.948801,381471.5,0.4894392788410187
Guatemala,2012,106490.671875,6.023344039916992,15.270771,390003.84375,0.49150240421295166
Guatemala,2013,110428.0625,5.747511386871338,15.595816,398428.125,0.4883160889148712
Guatemala,2014,115335.4609375,6.0012311935424805,15.923236,407499.90625,0.4835576117038727
Guatemala,2015,120055.1875,6.173264026641846,16.252429,415821.5,0.48407262563705444
Guatemala,2016,123270.0234375,6.416041374206543,16.583076,423447.8125,0.48295676708221436
Guatemala,2017,126997.015625,6.656779766082764,16.91497,431804.4375,0.49129220843315125
Guatemala,2018,131079.84375,6.88592004776001,17.247849,441030.15625,0.4932730495929718
Guatemala,2019,136121.1875,7.0933732986450195,17.581471999999998,451812.65625,0.4932730495929718
